LONGITUDE,LATITUDE,TIMESTAMP,NO
-2.1416,111.5635,42008,1
-2.4054,111.4296,42031,2
-2.1868,111.9068,42033,3
-2.3865,111.2576,42033,4
-1.8551,111.4864,42035,5
-1.582,111.938,42035,6
-2.1468,111.5891,42047,7
-2.0462,112.0016,42049,8
-2.0477,111.9913,42049,9
-2.1392,111.5891,42061,10
-2.2477,111.1948,42081,11
-2.246,111.2064,42081,12
-1.8974,111.825,42111,13
-2.1885,111.6279,42134,14
-2.0209,111.4129,42150,15
-2.2801,111.4585,42175,16
-2.2818,111.4707,42175,17
-1.9938,112.0034,42175,18
-1.6054,110.8592,42175,19
-2.1743,111.4853,42177,20
-1.9607,111.8753,42178,21
-1.9629,111.8677,42178,22
-2.0805,111.4482,42180,23
-2.0854,111.1246,42182,24
-2.005,111.5466,42182,25
-2.2506,111.4974,42184,26
-2.0092,111.7052,42184,27
-2.0105,111.6961,42184,28
-2.0764,111.4483,42186,29
-1.9629,111.8843,42187,30
-1.9694,111.8803,42187,31
-2.2585,111.4679,42190,32
-2.2699,111.4584,42190,33
-2.2683,111.4693,42190,34
-2.26,111.457,42190,35
-2.2496,111.4682,42190,36
-2.2509,111.4611,42190,37
-2.2529,111.4746,42190,38
-2.2638,111.473,42190,39
-2.221,111.8759,42191,40
-2.2708,111.462,42191,41
-2.2618,111.4607,42191,42
-2.1631,111.5677,42191,43
-1.5802,110.8224,42191,44
-1.5815,110.8135,42191,45
-2.2582,111.4641,42192,46
-2.2571,111.4661,42193,47
-2.1902,111.6373,42193,48
-2.2046,111.9221,42193,49
-2.2033,111.913,42193,50
-2.0459,111.1558,42193,51
-2.0161,111.3302,42193,52
-1.9401,111.8764,42193,53
-1.8836,111.1188,42193,54
-1.8849,111.1276,42193,55
-2.2108,111.9158,42193,56
-2.2123,111.9055,42193,57
-2.265,111.4675,42193,58
-2.2551,111.466,42193,59
-2.0834,111.4519,42193,60
-2.085,111.441,42193,61
-2.0424,111.4572,42193,62
-2.0439,111.4463,42193,63
-2.0325,111.4558,42193,64
-2.0341,111.4449,42193,65
-2.4138,111.5854,42198,66
-2.2834,111.3463,42198,67
-1.9689,111.8876,42198,68
-1.9224,111.497,42198,69
-2.2244,111.4702,42199,70
-2.2225,111.4838,42199,71
-2.4062,111.5803,42200,72
-1.856,111.8257,42201,73
-1.8695,111.8275,42201,74
-1.8734,111.8241,42202,75
-1.9579,111.8716,42203,76
-2.2545,111.4692,42203,77
-2.2549,111.4642,42203,78
-1.9613,111.872,42204,79
-1.7886,111.9934,42204,80
-1.7971,112.0008,42204,81
-2.2517,111.4579,42204,82
-2.2501,111.4676,42204,83
-2.2514,111.4587,42204,84
-1.9659,111.9105,42204,85
-1.9514,111.8835,42204,86
-1.9154,111.6845,42204,87
-1.8583,111.8271,42204,88
-1.7884,111.9934,42204,89
-2.2336,111.4844,42205,90
-1.9431,111.5203,42205,91
-1.868,111.8197,42205,92
-1.7931,111.9955,42205,93
-2.2569,111.4548,42206,94
-2.258,111.4479,42206,95
-2.2576,111.4707,42206,96
-1.8689,111.8309,42206,97
-1.8703,111.8206,42206,98
-1.8579,111.8397,42206,99
-1.8593,111.8295,42206,100
-1.8608,111.8193,42206,101
-1.8483,111.8383,42206,102
-1.8497,111.8281,42206,103
-2.2572,111.4629,42208,104
-2.2524,111.4739,42208,105
-1.847,111.8293,42208,106
-2.2628,111.4466,42209,107
-2.2643,111.4355,42209,108
-2.2624,111.44,42209,109
-1.9483,111.8642,42209,110
-1.9386,111.8628,42209,111
-1.1064,111.4583,42209,112
-1.1079,111.4475,42209,113
-2.2653,111.4422,42211,114
-1.8699,111.8312,42211,115
-1.9733,111.6049,42211,116
-1.8241,111.1608,42211,117
-1.5812,110.8647,42211,118
-1.9399,111.8586,42212,119
-1.9518,111.8603,42212,120
-2.2963,111.3747,42216,121
-2.0055,111.6946,42218,122
-2.0025,111.6876,42218,123
-1.9533,111.8794,42220,124
-2.284,111.4958,42220,125
-2.2853,111.4869,42220,126
-1.952,111.8885,42220,127
-1.9531,111.3954,42221,128
-1.9514,111.407,42221,129
-1.9681,111.5001,42221,130
-1.9664,111.5119,42221,131
-2.296,111.3525,42221,132
-1.0954,111.4848,42222,133
-1.0715,111.4898,42222,134
-1.0716,111.4849,42222,135
-2.2946,111.3755,42223,136
-2.1993,111.7799,42223,137
-2.2327,111.4836,42223,138
-2.1951,111.4907,42223,139
-2.0292,111.491,42223,140
-1.964,111.884,42223,141
-1.9485,111.8633,42223,142
-1.9498,111.8543,42223,143
-1.9421,111.7798,42223,144
-2.4956,111.379,42223,145
-1.8919,111.2919,42223,146
-1.8932,111.283,42223,147
-1.825,111.504,42223,148
-1.8263,111.4951,42223,149
-1.9441,111.8423,42223,150
-1.9403,111.8663,42223,151
-1.9433,111.8509,42223,152
-1.8473,111.3341,42224,153
-1.9363,111.8574,42224,154
-1.9385,111.8408,42224,155
-1.9428,111.852,42224,156
-1.8518,111.3227,42224,157
-1.8499,111.3161,42224,158
-1.9184,111.4397,42225,159
-2.0072,111.6039,42225,160
-2.0085,111.6129,42225,161
-2.0175,111.6116,42225,162
-2.0498,111.6437,42225,163
-2.0512,111.6527,42225,164
-1.8537,111.3226,42225,165
-1.5769,110.7487,42225,166
-1.5752,110.7607,42225,167
-2.0999,111.1689,42225,168
-2.0552,111.4139,42225,169
-2.0567,111.4029,42225,170
-2.0899,111.1673,42225,171
-2.0177,111.6087,42225,172
-2.0193,111.5979,42225,173
-2.0453,111.4125,42225,174
-2.0468,111.4015,42225,175
-2.008,111.6072,42225,176
-1.9814,111.6414,42225,177
-1.9305,111.4355,42225,178
-1.9281,111.4399,42225,179
-1.0772,111.4738,42226,180
-1.0772,111.4662,42226,181
-1.917,111.7405,42226,182
-2.4484,111.2629,42227,183
-2.4484,111.2561,42227,184
-1.8774,111.0425,42227,185
-1.1348,111.3849,42227,186
-1.0511,111.4441,42227,187
-1.0458,111.4565,42227,188
-1.9575,111.5363,42227,189
-1.9561,111.5463,42227,190
-1.9655,111.5476,42227,191
-1.9566,111.5453,42227,192
-1.9579,111.5542,42227,193
-1.9669,111.553,42227,194
-1.5254,111.5521,42228,195
-1.1304,111.4209,42228,196
-1.1325,111.4317,42228,197
-1.9239,111.7347,42229,198
-1.1107,111.485,42230,199
-2.4592,111.4108,42230,200
-1.971,111.5469,42230,201
-1.9976,111.0331,42230,202
-1.9938,110.9943,42230,203
-1.9952,110.985,42230,204
-1.8638,111.5147,42230,205
-1.8625,111.3264,42230,206
-1.8042,111.5603,42230,207
-1.8056,111.5505,42230,208
-1.7677,111.4154,42230,209
-1.6549,111.4223,42230,210
-1.6564,111.4126,42230,211
-1.6251,111.392,42230,212
-1.6265,111.3824,42230,213
-1.6158,111.3907,42230,214
-1.6171,111.381,42230,215
-1.5808,110.922,42230,216
-1.5821,110.9127,42230,217
-1.2968,111.1137,42230,218
-1.1788,111.4261,42230,219
-1.1037,111.4152,42230,220
-1.9695,111.5399,42231,221
-1.9651,111.543,42232,222
-1.9665,111.5529,42232,223
-2.0074,111.7007,42232,224
-2.0169,111.6994,42232,225
-2.0184,111.7095,42232,226
-2.0672,111.9756,42232,227
-2.2645,111.4263,42232,228
-2.1639,111.5483,42232,229
-2.1653,111.539,42232,230
-2.1489,111.0778,42232,231
-2.0411,111.6383,42232,232
-2.0996,111.159,42232,233
-2.0138,111.7001,42232,234
-1.9708,111.5463,42232,235
-1.9605,111.488,42232,236
-1.9046,111.3026,42232,237
-1.8901,111.3389,42232,238
-1.9024,111.1185,42232,239
-1.8302,111.4382,42232,240
-1.9008,110.9448,42232,241
-1.7973,111.5377,42232,242
-1.7986,111.5284,42232,243
-1.7882,111.5364,42232,244
-1.8133,111.3596,42232,245
-1.7687,111.543,42232,246
-1.77,111.5338,42232,247
-1.7531,111.5219,42232,248
-1.7623,111.4039,42232,249
-1.7636,111.3946,42232,250
-1.7531,111.4026,42232,251
-1.7545,111.3933,42232,252
-1.7714,111.0779,42232,253
-1.7515,111.0848,42232,254
-1.7681,110.9006,42232,255
-1.7695,110.8909,42232,256
-1.6698,111.4032,42232,257
-1.7376,110.7999,42232,258
-1.739,110.7902,42232,259
-1.6163,111.3861,42232,260
-1.6433,111.0628,42232,261
-1.6327,111.0711,42232,262
-1.634,111.0615,42232,263
-1.6271,111.0647,42232,264
-1.6284,111.0552,42232,265
-1.5011,111.1661,42232,266
-1.1711,111.4153,42232,267
-1.153,111.3467,42232,268
-1.1439,111.3454,42232,269
-1.1452,111.3362,42232,270
-1.1165,111.4734,42232,271
-1.1151,111.4199,42232,272
-1.1164,111.4106,42232,273
-1.8966,110.9564,42233,274
-1.1667,111.4301,42234,275
-2.441,111.264,42234,276
-2.4772,111.6904,42234,277
