no,lng,lat,tstamp
1,-2.46497,113.99354,2015-08-01
2,-2.47787,112.88963,2016-07-12
3,-2.55187,111.70787,2016-08-09
4,-2.80427,111.81348,2016-09-20
5,-2.80683,111.71134,2016-10-18
6,-1.7263852,114.8353706,2017-04-04
7,-1.97925,114.36832,2017-06-01
8,-2.761713,111.176534,2017-08-08
9,-2.761713,111.176534,2017-08-05
10,-2.16992,113.861491,2017-08-03
11,-2.90812,111.84121,2018-02-18
12,-2.59463,111.77131,2018-03-25
13,-2.93481,111.7315,2018-04-01
14,-2.59463,111.77131,2018-05-12
15,-2.93481,111.7315,2018-05-12
16,-2.25097,112.98361,2018-05-10
17,-1.9292,114.77647,2018-05-07
18,-2.48015,112.93446,2018-06-15
19,-1.9294,114.52597,2018-06-14
20,-2.92494,111.87818,2018-06-14
21,-2.59856,113.84088,2018-07-28
22,-2.12975,113.94002,2018-07-23
23,-2.78118,111.87884,2018-07-21
24,-2.96277,111.94039,2018-07-28
25,-2.80007,113.9594,2018-07-23
26,-2.96766,111.6805,2018-07-21
27,-2.59298,112.69157,2018-07-21
28,-2.12398,113.81492,2018-07-21
29,-1.93005,114.96593,2018-07-21
30,-2.47875,112.84926,2018-07-19
31,-2.94127,112.93631,2018-07-18
32,-2.18318,113.95892,2018-07-09
33,-1.92057,113.67868,2018-07-07
34,-2.37332,113.98147,2018-08-05
35,-1.92898,113.47095,2018-09-30
36,-0.839824677472119,114.795034335938,2018-09-30
37,-2.5448773,112.6913764,2019-03-31
38,2,111,2019-03-24
39,-2.5091,112.92286,2019-03-21
40,-2.6261,111.6018,2019-03-20
41,-0.890276,115.088,2019-03-20
42,-2.64287,113.86293,2019-05-26
43,-0.85072,115.17127,2019-05-26
44,-2.1973486,113.7870822,2019-06-25
45,-2.72304,111.94982,2019-06-22
46,-2.2326,113.866,2019-07-27
47,-0.036687,114.171485,2019-07-25
48,-2.2123,113.8602,2019-07-24
49,-2.23402,113.84075,2019-06-25
50,-2.121642,112.121304,2019-07-22
51,-1.918471,114.221872,2019-07-22
52,-2.1942,113.8503,2019-07-19
53,-2.61988,113.98144,2019-07-19
54,-0.88798,115.43153,2019-07-18
55,-2.19915181475193,111.457057071809,2019-07-18
56,-2.73315,112.99711,2019-07-18
57,-2.43439,112.36239,2019-07-18
58,-1.9774,113.65647,2019-07-18
59,-2.259,113.9128,2019-07-16
60,-2.1846,113.8266,2019-07-12
61,-1.0430442052912,114.871938632813,2019-07-10
62,-2.01117,113.794404,2019-07-10
63,-2.505434,113.954907,2019-07-01
64,-2.560542,111.202975,2019-08-30
65,-0.986919,113.51306,2019-08-16
66,-1.06477,114.89884,2019-08-01
