id,lat,lng
1,111.6805,-2.96766
2,111.94039,-2.96277
3,112.93631,-2.94127
4,111.7315,-2.93481
5,111.7315,-2.93481
6,111.87818,-2.92494
7,111.84121,-2.90812
8,111.71134,-2.80683
9,111.81348,-2.80427
10,113.9594,-2.80007
11,111.87884,-2.78118
12,111.176534,-2.761713
13,111.176534,-2.761713
14,112.99711,-2.73315
15,111.94982,-2.72304
16,113.86293,-2.64287
17,111.6018,-2.6261
18,113.98144,-2.61988
19,113.84088,-2.59856
20,111.77131,-2.59463
21,111.77131,-2.59463
22,112.69157,-2.59298
23,111.202975,-2.560542
24,111.70787,-2.55187
25,112.6913764,-2.5448773
26,112.92286,-2.5091
27,113.954907,-2.505434
28,112.93446,-2.48015
29,112.84926,-2.47875
30,112.88963,-2.47787
31,113.99354,-2.46497
32,112.36239,-2.43439
33,113.98147,-2.37332
34,113.9128,-2.259
35,112.98361,-2.25097
36,113.84075,-2.23402
37,113.866,-2.2326
38,113.8602,-2.2123
39,111.4570571,-2.199151815
40,113.7870822,-2.1973486
41,113.8503,-2.1942
42,113.8266,-2.1846
43,113.95892,-2.18318
44,113.861491,-2.16992
45,113.94002,-2.12975
46,113.81492,-2.12398
47,112.121304,-2.121642
48,113.794404,-2.01117
49,114.36832,-1.97925
50,113.65647,-1.9774
51,114.96593,-1.93005
52,114.52597,-1.9294
53,114.77647,-1.9292
54,113.47095,-1.92898
55,113.67868,-1.92057
56,114.221872,-1.918471
57,114.8353706,-1.7263852
58,114.89884,-1.06477
59,114.8719386,-1.043044205
60,113.51306,-0.986919
61,115.088,-0.890276
62,115.43153,-0.88798
63,115.17127,-0.85072
64,114.7950343,-0.839824677
65,114.171485,-0.036687
66,111,2
